Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
283.700828,0.000000,15.058490,0.000000,0.148720,0.148720,0.052475,0.000000,0.000000,0.000000,0.000000,0.417625,0.007159,0.086173,-0.370434,-0.160966,0.000785,-0.000069,-0.000002,-0.104720
288.404245,0.000000,15.122449,0.000000,0.149319,0.149319,0.052895,0.000000,0.000000,0.000000,0.000000,0.427103,0.007806,0.079486,-0.396254,-0.162368,0.000719,-0.000071,-0.000003,-0.104720
293.105383,0.000000,14.856961,0.000000,0.149929,0.149929,0.051029,0.000000,0.000000,0.000000,0.000000,0.427103,0.007806,0.066851,-0.411889,-0.163797,0.000626,-0.000072,-0.000005,-0.104720
297.796038,0.000000,14.920595,0.000000,0.150548,0.150548,0.051445,0.000000,0.000000,0.000000,0.000000,0.427103,0.007806,0.520293,-0.176305,-0.165191,0.000521,-0.000068,-0.000005,-0.104720
302.481011,0.000000,14.983314,0.000000,0.151177,0.151177,0.051850,0.000000,0.000000,0.000000,0.000000,0.427103,0.007806,0.514777,-0.205262,-0.166509,0.000403,-0.000065,-0.000006,-0.104720
307.171027,0.000000,15.043997,0.000000,0.151815,0.151815,0.052239,0.000000,0.000000,0.000000,0.000000,0.427103,0.007806,0.042756,-0.505694,-0.167776,0.000270,-0.000063,-0.000005,-0.104720
311.860042,0.000000,15.103327,0.000000,0.152464,0.152464,0.052621,0.000000,0.000000,0.000000,0.000000,0.437714,0.006659,0.231260,0.206442,-0.169053,0.000181,-0.000064,-0.000003,-0.104720
316.546836,0.000000,14.946083,0.000000,0.153122,0.153122,0.051501,0.000000,0.000000,0.000000,0.000000,0.437714,0.006659,0.218946,0.180825,-0.170351,0.000115,-0.000066,-0.000004,-0.104720
321.225599,0.000000,14.897185,0.000000,0.153790,0.153790,0.051139,0.000000,0.000000,0.000000,0.000000,0.437714,0.006659,0.478344,-0.309358,-0.171668,0.000053,-0.000065,-0.000003,-0.104720
325.898698,0.000000,14.955011,0.000000,0.154468,0.154468,0.051500,0.000000,0.000000,0.000000,0.000000,0.437714,0.006659,0.201141,0.123114,-0.172919,0.000019,-0.000061,-0.000001,-0.104720
330.568792,0.000000,15.011707,0.000000,0.155156,0.155156,0.051858,0.000000,0.000000,0.000000,0.000000,0.437714,0.006659,0.193731,0.094167,-0.174097,-0.000009,-0.000058,-0.000002,-0.104720
335.240497,0.000000,15.066758,0.000000,0.155853,0.155853,0.052205,0.000000,0.000000,0.000000,0.000000,0.443002,0.003681,0.186688,0.066538,-0.175231,-0.000027,-0.000058,0.000001,-0.104720
339.908157,0.000000,15.120794,0.000000,0.156560,0.156560,0.052546,0.000000,0.000000,0.000000,0.000000,0.443002,0.003681,0.179940,0.040241,-0.176379,0.000020,-0.000059,0.000004,-0.104720
344.575443,0.000000,14.962422,0.000000,0.157277,0.157277,0.051416,0.000000,0.000000,0.000000,0.000000,0.443002,0.003681,0.167822,0.014976,-0.177552,0.000108,-0.000060,0.000005,-0.104720
349.231585,0.000000,14.910558,0.000000,0.158004,0.158004,0.051024,0.000000,0.000000,0.000000,0.000000,0.443002,0.003681,0.158933,-0.008532,-0.178758,0.000211,-0.000062,0.000005,-0.104720
353.883920,0.000000,14.962999,0.000000,0.158741,0.158741,0.051347,0.000000,0.000000,0.000000,0.000000,0.443002,0.003681,0.153055,-0.030901,-0.180006,0.000305,-0.000065,0.000004,-0.104720
358.535157,0.000000,15.014094,0.000000,0.159487,0.159487,0.051660,0.000000,0.000000,0.000000,0.000000,0.448644,-0.005987,0.147350,-0.052315,-0.181302,0.000364,-0.000067,0.000002,-0.104720
363.184724,0.000000,15.063909,0.000000,0.160243,0.160243,0.051964,0.000000,0.000000,0.000000,0.000000,0.448644,-0.005987,0.140368,-0.078357,-0.182637,0.000379,-0.000066,0.000001,-0.104720
367.832036,0.000000,15.112507,0.000000,0.161009,0.161009,0.052259,0.000000,0.000000,0.000000,0.000000,0.448644,-0.005987,0.132537,-0.107800,-0.183925,0.000375,-0.000063,-0.000000,-0.104720
372.475672,0.000000,14.953585,0.000000,0.161784,0.161784,0.051132,0.000000,0.000000,0.000000,0.000000,0.448644,-0.005987,0.588526,0.140300,-0.185163,0.000332,-0.000061,-0.000003,-0.104720
377.110269,0.000000,14.898681,0.000000,0.162570,0.162570,0.050709,0.000000,0.000000,0.000000,0.000000,0.448644,-0.005987,0.111411,-0.157111,-0.186361,0.000220,-0.000060,-0.000007,-0.104720
381.738004,0.000000,14.946153,0.000000,0.163365,0.163365,0.050988,0.000000,0.000000,0.000000,0.000000,0.468045,0.000037,-0.170723,0.277823,-0.187468,0.000063,-0.000053,-0.000007,-0.104720
386.366191,0.000000,14.992094,0.000000,0.164169,0.164169,0.051259,0.000000,0.000000,0.000000,0.000000,0.468045,0.000037,0.094622,-0.222705,-0.188492,-0.000047,-0.000050,-0.000005,-0.104720
390.989420,0.000000,15.037093,0.000000,0.164983,0.164983,0.051521,0.000000,0.000000,0.000000,0.000000,0.468045,0.000037,0.086898,-0.253314,-0.189451,-0.000124,-0.000047,-0.000003,-0.104720
395.612071,0.000000,15.080683,0.000000,0.165807,0.165807,0.051771,0.000000,0.000000,0.000000,0.000000,0.468045,0.000037,-0.197247,0.191134,-0.190354,-0.000198,-0.000044,-0.000004,-0.104720
400.228653,0.000000,15.123443,0.000000,0.166641,0.166641,0.052016,0.000000,0.000000,0.000000,0.000000,0.468045,0.000037,-0.205310,0.164834,-0.191242,-0.000248,-0.000046,-0.000000,-0.104720
404.842564,0.000000,14.963999,0.000000,0.167484,0.167484,0.050875,0.000000,0.000000,0.000000,0.000000,0.455699,0.006857,-0.213588,0.137939,-0.192164,-0.000229,-0.000048,0.000002,-0.104720
409.443937,0.000000,14.906213,0.000000,0.168337,0.168337,0.050433,0.000000,0.000000,0.000000,0.000000,0.455699,0.006857,-0.221247,0.113644,-0.193127,-0.000168,-0.000050,0.000004,-0.104720
